transcription,file_name
ADDING FAST LEADS TO WRONG SUMS,data/indian/speaker_02/indian_s02_055.wav
THE SHOW WAS A FLOP FROM THE VERY START,data/indian/speaker_02/indian_s02_056.wav
A SAW AS A TOOL USED FOR MAKING BOARDS,data/indian/speaker_02/indian_s02_057.wav
THE WAGON MOVED ON WELL OILED WHEELS,data/indian/speaker_02/indian_s02_058.wav
MARCH THE SOLDIERS PAST THE NEXT HILL,data/indian/speaker_02/indian_s02_059.wav
A CUP OF SUGAR MAKES SWEET FUDGE,data/indian/speaker_02/indian_s02_060.wav
PLACE A ROSEBUSH NEAR THE PORCH STEPS,data/indian/speaker_02/indian_s02_061.wav
BOTH LOST THEIR LIVES IN THE RAGING STORM,data/indian/speaker_02/indian_s02_062.wav
WE TALKED OF THE SIDE SHOW IN THE CIRCUS,data/indian/speaker_02/indian_s02_063.wav
USE A PENCIL TO WRITE THE FIRST DRAFT,data/indian/speaker_02/indian_s02_064.wav
HE RAN HALFWAY TO THE HARDWARE STORE,data/indian/speaker_02/indian_s02_065.wav
THE CLOCK STRUCK TO MARK THE THIRD PERIOD,data/indian/speaker_02/indian_s02_066.wav
A SMALL CREEK CUT ACROSS THE FIELD,data/indian/speaker_02/indian_s02_067.wav
CARS AND BUSSES STALLED IN SNOW DRIFTS,data/indian/speaker_02/indian_s02_068.wav
THE SET OF CHINA HIT THE FLOOR WITH A CRASH,data/indian/speaker_02/indian_s02_069.wav
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD,data/indian/speaker_02/indian_s02_070.wav
THE DUNE ROSE FROM THE EDGE OF THE WATER,data/indian/speaker_02/indian_s02_071.wav
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE,data/indian/speaker_02/indian_s02_072.wav
A YACHT SLID AROUND THE POINT INTO THE BAY,data/indian/speaker_02/indian_s02_073.wav
THE TWO MET WHILE PLAYING ON THE SAND,data/indian/speaker_02/indian_s02_074.wav
THE INK STAIN DRIED ON THE FINISHED PAGE,data/indian/speaker_02/indian_s02_075.wav
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT,data/indian/speaker_02/indian_s02_076.wav
THE LEASE RAN OUT IN SIXTEEN WEEKS,data/indian/speaker_02/indian_s02_077.wav
A TAME SQUIRREL MAKES A NICE PET,data/indian/speaker_02/indian_s02_078.wav
THE HORN OF THE CAR WOKE THE SLEEPING COP,data/indian/speaker_02/indian_s02_079.wav
THE HEART BEATS STRONGLY AND WITH FIRM STROKES,data/indian/speaker_02/indian_s02_080.wav
THE PEARL WAS WORN IN A THIN SILVER RING,data/indian/speaker_02/indian_s02_081.wav
THE FRUIT PEEL WAS CUT IN THICK SLICES,data/indian/speaker_02/indian_s02_082.wav
THE NAVY ATTACKED THE BIG TASK FORCE,data/indian/speaker_02/indian_s02_083.wav
SEE THE CAT GLARING AT THE SCARED MOUSE,data/indian/speaker_02/indian_s02_084.wav
THERE ARE MORE THAN TWO FACTORS HERE,data/indian/speaker_02/indian_s02_085.wav
THE HAT BRIM WAS WIDE AND TOO DROOPY,data/indian/speaker_02/indian_s02_086.wav
THE LAWYER TRIED TO LOSE HIS CASE,data/indian/speaker_02/indian_s02_087.wav
THE GRASS CURLED AROUND THE FENCE POST,data/indian/speaker_02/indian_s02_088.wav
CUT THE PIE INTO LARGE PARTS,data/indian/speaker_02/indian_s02_089.wav
MEN STRIVE BUT SELDOM GET RICH,data/indian/speaker_02/indian_s02_090.wav
ALWAYS CLOSE THE BARN DOOR TIGHT,data/indian/speaker_02/indian_s02_091.wav
HE LAY PRONE AND HARDLY MOVED A LIMB,data/indian/speaker_02/indian_s02_092.wav
THE SLUSH LAY DEEP ALONG THE STREET,data/indian/speaker_02/indian_s02_093.wav
A WISP OF CLOUD HUNG IN THE BLUE AIR,data/indian/speaker_02/indian_s02_094.wav
A POUND OF SUGAR COSTS MORE THAN EGGS,data/indian/speaker_02/indian_s02_095.wav
THE FIN WAS SHARP AND CUT THE CLEAR WATER,data/indian/speaker_02/indian_s02_096.wav
THE PLAY SEEMS DULL AND QUITE STUPID,data/indian/speaker_02/indian_s02_097.wav
BAIL THE BOAT TO STOP IT FROM SINKING,data/indian/speaker_02/indian_s02_098.wav
THE TERM ENDED IN LATE JUNE THAT YEAR,data/indian/speaker_02/indian_s02_099.wav
A TUSK USED TO MAKE COSTLY GIFTS,data/indian/speaker_02/indian_s02_100.wav
TEN PINS WERE SET IN ORDER,data/indian/speaker_02/indian_s02_101.wav
THE BILL WAS PAID EVERY THIRD WEEK,data/indian/speaker_02/indian_s02_102.wav
OAK IS STRONG AND ALSO GIVES SHADE,data/indian/speaker_02/indian_s02_103.wav
CATS AND DOGS EACH HATE THE OTHER,data/indian/speaker_02/indian_s02_104.wav
THE PIPE BEGAN TO RUST WHILE NEW,data/indian/speaker_02/indian_s02_105.wav
OPEN THE CRATE BUT DON'T BREAK THE GLASS,data/indian/speaker_02/indian_s02_106.wav
ADD THE SUM TO THE PRODUCT OF THESE THREE,data/indian/speaker_02/indian_s02_107.wav
THIEVES WHO ROB FRIENDS DESERVE JAIL,data/indian/speaker_02/indian_s02_108.wav
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE,data/indian/speaker_02/indian_s02_109.wav
ACT ON THESE ORDERS WITH GREAT SPEED,data/indian/speaker_02/indian_s02_110.wav
THE HOG CRAWLED UNDER THE HIGH FENCE,data/indian/speaker_02/indian_s02_111.wav
MOVE THE VAT OVER THE HOT FIRE,data/indian/speaker_02/indian_s02_112.wav
THE BARK OF THE PINE TREE WAS SHINY AND DARK,data/indian/speaker_02/indian_s02_113.wav
LEAVES TURN BROWN AND YELLOW IN THE FALL,data/indian/speaker_02/indian_s02_114.wav
THE PENNANT WAVED WHEN THE WIND BLEW,data/indian/speaker_02/indian_s02_115.wav
SPLIT THE LOG WITH A QUICK,data/indian/speaker_02/indian_s02_116.wav
SHARP BLOW,data/indian/speaker_02/indian_s02_117.wav
BURN PEAT AFTER THE LOGS GIVE OUT,data/indian/speaker_02/indian_s02_118.wav
HE ORDERED PEACH PIE WITH ICE CREAM,data/indian/speaker_02/indian_s02_119.wav
WEAVE THE CARPET ON THE RIGHT HAND SIDE,data/indian/speaker_02/indian_s02_120.wav
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS,data/indian/speaker_02/indian_s02_121.wav
A LAME BACK KEPT HIS SCORE LOW,data/indian/speaker_02/indian_s02_122.wav
WE FIND JOY IN THE SIMPLEST THINGS,data/indian/speaker_02/indian_s02_123.wav
TYPE OUT THREE LISTS OF ORDERS,data/indian/speaker_02/indian_s02_124.wav
THE HARDER HE TRIED THE LESS HE GOT DONE,data/indian/speaker_02/indian_s02_125.wav
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE,data/indian/speaker_02/indian_s02_126.wav
THE CUP CRACKED AND SPILLED ITS CONTENTS,data/indian/speaker_02/indian_s02_127.wav
PASTE CAN CLEANSE THE MOST DIRTY BRASS,data/indian/speaker_02/indian_s02_128.wav
THE SLANG WORD FOR RAW WHISKY IS BOOZE,data/indian/speaker_02/indian_s02_129.wav
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP,data/indian/speaker_02/indian_s02_130.wav
THE WHARF COULD BE SEEN AT THE FARTHER SHORE,data/indian/speaker_02/indian_s02_131.wav
FEEL THE HEAT OF THE WEAK DYING FLAME,data/indian/speaker_02/indian_s02_132.wav
THE TINY GIRL TOOK OFF HER HAT,data/indian/speaker_02/indian_s02_133.wav
A CRAMP IS NO SMALL DANGER ON A SWIN,data/indian/speaker_02/indian_s02_134.wav
HE SAID THE SAME PHRASE THIRTY TIMES,data/indian/speaker_02/indian_s02_135.wav
PLUCK THE BRIGHT ROSE WITHOUT LEAVES,data/indian/speaker_02/indian_s02_136.wav
TWO PLUS SEVEN IS LESS THAN TEN,data/indian/speaker_02/indian_s02_137.wav
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL,data/indian/speaker_02/indian_s02_138.wav
BRING YOUR PROBLEMS TO THE WISE CHIEF,data/indian/speaker_02/indian_s02_139.wav
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH,data/indian/speaker_02/indian_s02_140.wav
CLOTHES AND LODGING ARE FREE TO NEW MEN,data/indian/speaker_02/indian_s02_141.wav
WE FROWN WHEN EVENTS TAKE A BAD TURN,data/indian/speaker_02/indian_s02_142.wav
PORT IS A STRONG WINE WITH A SMOKY TASTE,data/indian/speaker_02/indian_s02_143.wav
THE YOUNG KID JUMPED THE RUSTY GATE,data/indian/speaker_02/indian_s02_144.wav
GUESS THE RESULT FROM THE FIRST SCORES,data/indian/speaker_02/indian_s02_145.wav
A SALT PICKLE TASTES FINE WITH HAM,data/indian/speaker_02/indian_s02_146.wav
THE JUST CLAIM GOT THE RIGHT VERDICT,data/indian/speaker_02/indian_s02_147.wav
THOSE THISTLES BEND IN A HIGH WIND,data/indian/speaker_02/indian_s02_148.wav
PURE BRED POODLES HAVE CURLS,data/indian/speaker_02/indian_s02_149.wav
THE TREE TOP WAVED IN A GRACEFUL WAY,data/indian/speaker_02/indian_s02_150.wav
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK,data/indian/speaker_02/indian_s02_151.wav
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT,data/indian/speaker_02/indian_s02_152.wav
THE CIGAR BURNED A HOLE IN THE DESK TOP,data/indian/speaker_02/indian_s02_153.wav
THE EMPTY FLASK STOOD ON THE TIN TRAY,data/indian/speaker_02/indian_s02_154.wav
A SPEEDY MAN CAN BEAT THIS TRACK MARK,data/indian/speaker_02/indian_s02_155.wav
HE BROKE A NEW SHOELACE THAT DAY,data/indian/speaker_02/indian_s02_156.wav
THE COFFEE STAND IS TOO HIGH FOR THE COUCH,data/indian/speaker_02/indian_s02_157.wav
THE URGE TO WRITE SHORT STORIES IS RARE,data/indian/speaker_02/indian_s02_158.wav
THE PENCILS HAVE ALL BEEN USED,data/indian/speaker_02/indian_s02_159.wav
THE PIRATES SEIZED THE CREW OF THE LOST SHIP,data/indian/speaker_02/indian_s02_160.wav
WE TRIED TO REPLACE THE COIN BUT FAILED,data/indian/speaker_02/indian_s02_161.wav
SHE SEWED THE TORN COAT QUITE NEATLY,data/indian/speaker_02/indian_s02_162.wav
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT,data/indian/speaker_02/indian_s02_163.wav
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR,data/indian/speaker_02/indian_s02_164.wav
AT THAT HIGH LEVEL THE AIR IS PURE,data/indian/speaker_02/indian_s02_165.wav
DROP THE TWO WHEN YOU ADD THE FIGURES,data/indian/speaker_02/indian_s02_166.wav
A FILING CASE IS NOW HARD TO BUY,data/indian/speaker_02/indian_s02_167.wav
AN ABRUPT START DOES NOT WIN THE PRIZE,data/indian/speaker_02/indian_s02_168.wav
WHIT IS BEST FOR MAKING TOYS AND BLOCKS,data/indian/speaker_02/indian_s02_169.wav
THE OFFICE PAINT WAS DULL,data/indian/speaker_02/indian_s02_170.wav
SAID DAN,data/indian/speaker_02/indian_s02_171.wav
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS,data/indian/speaker_02/indian_s02_172.wav
A RAG WILL SOAK UP SPILLED WATER,data/indian/speaker_02/indian_s02_173.wav
A SHOWER OF DIRT FELL FROM THE HOT PIPES,data/indian/speaker_02/indian_s02_174.wav
STEAM HIST FROM THE BROKEN VALVE,data/indian/speaker_02/indian_s02_175.wav
THE CHILD ALMOST HURT THE SMALL DOG,data/indian/speaker_02/indian_s02_176.wav
THERE WAS A SOUND OF DRY LEAVES OUTSIDE,data/indian/speaker_02/indian_s02_177.wav
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE,data/indian/speaker_02/indian_s02_178.wav
TORN SCRAPS LITTERED THE STONE FLOOR,data/indian/speaker_02/indian_s02_179.wav
SUNDAY IS THE BEST PART OF THE WEEK,data/indian/speaker_02/indian_s02_180.wav
THE DOCTOR CURED HIM WITH THESE PILLS,data/indian/speaker_02/indian_s02_181.wav
THE NEW GIRL WAS FIRED TODAY AT NOON,data/indian/speaker_02/indian_s02_182.wav
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT,data/indian/speaker_02/indian_s02_183.wav
ADD THE STORE'S ACCOUNT TO THE LAST CENT,data/indian/speaker_02/indian_s02_184.wav
ACID BURNS HOLES IN WOOL CLOTH,data/indian/speaker_02/indian_s02_185.wav
FAIRY TALES SHOULD BE FUN TO WRITE,data/indian/speaker_02/indian_s02_186.wav
EIGHT MILES OF WOODLAND BURN TO WASTE,data/indian/speaker_02/indian_s02_187.wav
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS,data/indian/speaker_02/indian_s02_188.wav
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT,data/indian/speaker_02/indian_s02_189.wav
ADD THE COLUMN AND PUT THE SUM HERE,data/indian/speaker_02/indian_s02_190.wav
WE ADMIRE AND LOVE A GOOD COOK,data/indian/speaker_02/indian_s02_191.wav
THERE THE FLOOD MARK IS TEN INCHES,data/indian/speaker_02/indian_s02_192.wav
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE,data/indian/speaker_02/indian_s02_193.wav
SHE HAS A SMART WAY OF WEARING CLOTHES,data/indian/speaker_02/indian_s02_194.wav
THE FRUIT OF A FIG TREE IS APPLE SHAPED,data/indian/speaker_02/indian_s02_195.wav
CORN COBS CAN BE USED TO KINDLE A FIRE,data/indian/speaker_02/indian_s02_196.wav
WHERE WERE THEY WHEN THE NOISE STARTED,data/indian/speaker_02/indian_s02_197.wav
THE PAPER BOX IS FULL OF THUMB TACKS,data/indian/speaker_02/indian_s02_198.wav
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN,data/indian/speaker_02/indian_s02_199.wav
THE TONGS LAY BESIDE THE ICE PAIL,data/indian/speaker_02/indian_s02_200.wav
THE PETALS FALL WITH THE NEXT PUFF OF WIND,data/indian/speaker_02/indian_s02_201.wav
BRING YOUR BEST COMPASS TO THE THIRD CLASS,data/indian/speaker_02/indian_s02_202.wav
THEY COULD LAUGH ALTHOUGH THEY WERE SAD,data/indian/speaker_02/indian_s02_203.wav
FARMERS CAME IN TO THRESH THE OAT CROP,data/indian/speaker_02/indian_s02_204.wav
THE BROWN HOUSE WAS ON FIRE TO THE ATTIC,data/indian/speaker_02/indian_s02_205.wav
THE LURE IS USED TO CATCH TROUT AND FLOUNDER,data/indian/speaker_02/indian_s02_206.wav
FLOAT THE SOAP ON TOP OF THE BATH WATER,data/indian/speaker_02/indian_s02_207.wav
A BLUE CRANE IS A TALL WADING BIRD,data/indian/speaker_02/indian_s02_208.wav
A FRESH START WILL WORK SUCH WONDERS,data/indian/speaker_02/indian_s02_209.wav
THE CLUB RENTED THE RINK FOR THE FIFTH NIGHT,data/indian/speaker_02/indian_s02_210.wav
AFTER THE DANCE,data/indian/speaker_02/indian_s02_211.wav
THEY WENT STRAIGHT HOME,data/indian/speaker_02/indian_s02_212.wav
THE HOST HAS TAUGHT THE NEW MAID TO SERVE,data/indian/speaker_02/indian_s02_213.wav
HE WROTE HIS LAST NOVEL THERE AT THE INN,data/indian/speaker_02/indian_s02_214.wav
EVEN THE WORST WILL BEAT HIS LOW SCORE,data/indian/speaker_02/indian_s02_215.wav
THE CEMENT HAD DRIED WHEN HE MOVED IT,data/indian/speaker_02/indian_s02_216.wav
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE,data/indian/speaker_02/indian_s02_217.wav
THE FLY MADE ITS WAY ALONG THE WALL,data/indian/speaker_02/indian_s02_218.wav
DO THAT WITH A WOODEN STICK,data/indian/speaker_02/indian_s02_219.wav
LIVE WIRES SHOULD BE KEPT COVERED,data/indian/speaker_02/indian_s02_220.wav
THE LARGE HOUSE HAD HOT WATER TAPS,data/indian/speaker_02/indian_s02_221.wav
IT IS HARD TO ERASE BLUE OR RED INK,data/indian/speaker_02/indian_s02_222.wav
WRITE AT ONCE OR YOU MAY FORGET IT,data/indian/speaker_02/indian_s02_223.wav
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS,data/indian/speaker_02/indian_s02_224.wav
THE WRECK OCCURRED BY THE BANK ON MAIN STREET,data/indian/speaker_02/indian_s02_225.wav
A PENCIL WITH BLACK LEAD WRITES BEST,data/indian/speaker_02/indian_s02_226.wav
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET,data/indian/speaker_02/indian_s02_227.wav
SCHOOLS FOR LADIES TEACH CHARM AND GRACE,data/indian/speaker_02/indian_s02_228.wav
THE LAMP SHONE WITH A STEADY GREEN FLAME,data/indian/speaker_02/indian_s02_229.wav
THEY TOOK THE AXE AND THE SAW OF THE FOREST,data/indian/speaker_02/indian_s02_230.wav
THE ANCIENT COIN WAS QUITE DULL AND WORN,data/indian/speaker_02/indian_s02_231.wav
THE SHAKY BARN FELL WITH A LOUD CRASH,data/indian/speaker_02/indian_s02_232.wav
JAZZ AND SWING FANS LIKE FAST MUSIC,data/indian/speaker_02/indian_s02_233.wav
RAKE THE RUBBISH UP AND THEN BURN IT,data/indian/speaker_02/indian_s02_234.wav
SLASH THE GOLD CLOTH INTO FINE RIBBONS,data/indian/speaker_02/indian_s02_235.wav
TRY TO HAVE THE COURT DECIDE THE CASE,data/indian/speaker_02/indian_s02_236.wav
THEY ARE PUSHED BACK EACH TIME THEY ATTACK,data/indian/speaker_02/indian_s02_237.wav
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS,data/indian/speaker_02/indian_s02_238.wav
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS,data/indian/speaker_02/indian_s02_239.wav
THE MAP HAD AN X THAT MEANT NOTHING,data/indian/speaker_02/indian_s02_240.wav
WHITINGS ARE SMALL FISH CAUGHT IN NETS,data/indian/speaker_02/indian_s02_241.wav
SOME ADS SERVE TO CHEAT BUYERS,data/indian/speaker_02/indian_s02_242.wav
JERK THE ROPE IN THE BELL RINGS WEAKLY,data/indian/speaker_02/indian_s02_243.wav
A WAXED FLOOR MAKES US LOSE BALANCE,data/indian/speaker_02/indian_s02_244.wav
MADAM,data/indian/speaker_02/indian_s02_245.wav
THIS IS THE BEST BRAND OF CORN,data/indian/speaker_02/indian_s02_246.wav
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD,data/indian/speaker_02/indian_s02_247.wav
THE PLAY BEGAN AS SOON AS WE SAT DOWN,data/indian/speaker_02/indian_s02_248.wav
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY,data/indian/speaker_02/indian_s02_249.wav
ADD SALT BEFORE YOU FRY THE EGG,data/indian/speaker_02/indian_s02_250.wav
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY,data/indian/speaker_02/indian_s02_251.wav
THE BIRCH LOOKED STARK WHITE AND LONESOME,data/indian/speaker_02/indian_s02_252.wav
THE BOX IS HELD BY A BRIGHT RED SNAPPER,data/indian/speaker_02/indian_s02_253.wav
TO MAKE PURE ICE,data/indian/speaker_02/indian_s02_254.wav
YOU FREEZE WATER,data/indian/speaker_02/indian_s02_255.wav
THE FIRST WORM GETS SNAPPED EARLY,data/indian/speaker_02/indian_s02_256.wav
JUMP THE FENCE AND HURRY UP THE BANK,data/indian/speaker_02/indian_s02_257.wav
YELL AN CLAP AS THE CURTAIN SLIDES BACK,data/indian/speaker_02/indian_s02_258.wav
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD,data/indian/speaker_02/indian_s02_259.wav
BOTH BROTHERS WERE THE SAME SIZE,data/indian/speaker_02/indian_s02_260.wav
IN SOME FORM OR OTHER WE NEED FUN,data/indian/speaker_02/indian_s02_261.wav
THE PRINCE ORDERED HIS HEAD CHOPPED OFF,data/indian/speaker_02/indian_s02_262.wav
THE HOUSES ARE BUILT OF RED CLAY BRICKS,data/indian/speaker_02/indian_s02_263.wav
DUCKS FLY NORTH BUT LACK A COMPASS,data/indian/speaker_02/indian_s02_264.wav
FRUIT FLAVORS ARE USED IN FIZZ DRINKS,data/indian/speaker_02/indian_s02_265.wav
THESE PILLS DO LESS GOOD THAN OTHERS,data/indian/speaker_02/indian_s02_266.wav
CANNED PEARS LACK FULL FLAVOR,data/indian/speaker_02/indian_s02_267.wav
THE DARK POT HUNG IN THE FRONT CLOSET,data/indian/speaker_02/indian_s02_268.wav
CARRY THE PAIL TO THE WALL AND SPILL IT THERE,data/indian/speaker_02/indian_s02_269.wav
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN,data/indian/speaker_02/indian_s02_270.wav
WE ARE SURE THAT ONE WAR IS ENOUGH,data/indian/speaker_02/indian_s02_271.wav
GREAT PAINTS STRETCHED FOR MILES AROUND,data/indian/speaker_02/indian_s02_272.wav
THE RUDE LAUGH FILLED THE EMPTY ROOM,data/indian/speaker_02/indian_s02_273.wav
HIGH SEATS ARE BEST FOR FOOTBALL FANS,data/indian/speaker_02/indian_s02_274.wav
TEA SERVED FROM THE BROWN JUG IS TASTY,data/indian/speaker_02/indian_s02_275.wav
A DASH OF PEPPER SPOILS BEEF STEW,data/indian/speaker_02/indian_s02_276.wav
A ZESTFUL FOOD IS THE HOT CROSS BUN,data/indian/speaker_02/indian_s02_277.wav
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE,data/indian/speaker_02/indian_s02_278.wav
FIND THE TWIN WHO STOLE THE PEARL NECKLACE,data/indian/speaker_02/indian_s02_279.wav
CUT THE CORD THAT BINDS THE BOX TIGHTLY,data/indian/speaker_02/indian_s02_280.wav
THE RED TAPE BOUND THE SMUGGLED FOOD,data/indian/speaker_02/indian_s02_281.wav
LOOK IN THE CORNER TO FIND THE TAN SHIRT,data/indian/speaker_02/indian_s02_282.wav
THE COLD DRIZZLE WILL HALT THE BOND DRIVE,data/indian/speaker_02/indian_s02_283.wav
NINE MEN WERE HIRED TO DIG THE RUINS,data/indian/speaker_02/indian_s02_284.wav
THE JUNKYARD HAD A MOULDY SMELL,data/indian/speaker_02/indian_s02_285.wav
THE FLINT SPUTTERED AND LIT A PINE TORCH,data/indian/speaker_02/indian_s02_286.wav
SOAK THE CLOTH AND DROWN THE SHARP ODOUR,data/indian/speaker_02/indian_s02_287.wav
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS,data/indian/speaker_02/indian_s02_288.wav
A JOY TO EVERY CHILD IS THE SWAN BOAT,data/indian/speaker_02/indian_s02_289.wav
ALL SAT FROZEN AND WATCHED THE SCREEN,data/indian/speaker_02/indian_s02_290.wav
A CLOUD OF DUST STUNG HIS TENDER EYES,data/indian/speaker_02/indian_s02_291.wav
TO REACH THE END HE NEEDS MUCH COURAGE,data/indian/speaker_02/indian_s02_292.wav
